name,description,cpf,online,duration,unit,level,degree,category,subcategory,organism,cities,price
3ds Max avec V-Ray,"Identifier et appliquer les principes de la modélisation polygonale et la 3D en temps réel, de manière optimale, en ajoutant un moteur de rendu.",checked,online,3,day,Connaissance préalable des bases de 3ds Max ou avoir suivi la formation 3ds Max les bases.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,3D Studio Max,Ziggourat Formation,"A distance, Paris,Paris",1500
3DS Max et le moteur de rendu d'illumination Arnold,"Concevoir un objet en 3D. Donner un rendu réaliste en jouant sur les matériaux, les textures et les lumières.",checked,online,2,Day,"Avoir de bonnes connaissances en modélisation, texture et rendu ou avoir suivi le stage 3ds Max Initiation.
Avoir suivi 3ds Max Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,3D Studio Max,Ziggourat Formation,"A distance, Paris",0
3ds Max Initiation,Identifier et appliquer les principes de la modélisation polygonale et la 3D en temps réel.,checked,online,5,Day,Connaître et comprendre son environnement de travail informatique. Une bonne pratique des logiciels graphiques est obligatoire. Avoir suivi Photoshop Perfectionnement et Photoshop Initiation,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,3D Studio Max,Ziggourat Formation,"A distance, Paris",2250
3ds Max Perfectionnement,"Identifier et appliquer les principes de la modélisation polygonale et la 3D en temps réel, de manière optimale.",checked,online,5,Day,"Avoir de bonnes connaissances en modélisation, texture et rendu ou avoir suivi le stage 3ds Max Les bases.
Avoir suivi 3ds Max Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,3D Studio Max,Ziggourat Formation,"A distance, Paris",2250
5 jours pour créer son entreprise,Apprendre les étapes clés à la création d'une entreprise,checked,online,5,day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris,Paris",1100
8 jours pour reprendre une entreprise,Apprendre les approches à la reprise d'entreprise,checked,online,8,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",2560
Access Initiation,Créer et administrer de manière optimale des bases de données.,checked,online,3,Day,Etre à l'aise avec son environnement de travail Windows et pratiquer régulièrement des outils bureautiques.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,Access,Ziggourat Formation,"A distance, Paris",900
Access Perfectionnement,Créer et administrer de manière optimale des bases de données.,checked,online,2,Day,"Être à l'aise avec son environnement de travail Windows et pratiquer le logiciel Access régulièrement. Savoir créer une base de données relationnelle, créer des tables et réaliser des requêtes de sélection.",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,Access,Ziggourat Formation,"A distance, Paris",900
Access VBA Initiation,Développer à l'aide d'un langage de programmation des applications de gestion sur un logiciel de base de données.,checked,online,3,Day,"Être à l'aise avec son environnement de travail Windows et pratiquer le logiciel Access régulièrement. Avoir suivi une formation Access Perfectionnement ou Consolidation ou posséder les connaissances équivalentes.
Avoir suivi Access Perfectionnement, Access Consolidation - Parcours multimodal bureautique, Access Initiation - Parcours multimodal bureautique",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,Bureautique,Ziggourat Formation,"A distance, Paris",1200
Allemand certification CLOE,La certification CLOE Allemand permet d’évaluer et de certifier les compétences générales et professionnelles en allemand du niveau A1 au niveau C2 du Cadre Européen Commun de Référence pour les Langues (CECRL).,checked,online,8,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification CLOE validée par la CCI France,Langues,Allemand,Mda ACADEMY,A distance,890
